No,Nama Menu,Kategori,Kalori (kcal),Sumber Karbohidrat,Bahan Utama / Pendamping,Deskripsi Singkat
180,"seperti kacang-kacangan, biji-bijian, ikan, alpukat, zaitun,",Ikan,0,Nasi Putih,Sayur / Lauk Tambahan,"Menu seperti kacang-kacangan, biji-bijian, ikan, alpukat, zaitun,."
181,yang dipakai adalah daging sapi atau daging ayam,Ayam,0,Nasi Putih,Sayur / Lauk Tambahan,Menu yang dipakai adalah daging sapi atau daging ayam.
182,Jika dimakan lengkap bersama nasi putih / nasi merah,Lainnya,0,Nasi Putih,Sayur / Lauk Tambahan,Menu Jika dimakan lengkap bersama nasi putih / nasi merah.
183,=GRILLED CHICKEN “a a ree — Sey aad,Ayam,0,Nasi Putih,Sayur / Lauk Tambahan,Menu =GRILLED CHICKEN “a a ree — Sey aad.
184,WITH POTATO WITH BROWN RICE BROWN RICE,Lainnya,0,Nasi Putih,Sayur / Lauk Tambahan,Menu WITH POTATO WITH BROWN RICE BROWN RICE.
185,=GRILLED CHICKEN eal aN irate BT Map esa),Ayam,0,Nasi Putih,Sayur / Lauk Tambahan,Menu =GRILLED CHICKEN eal aN irate BT Map esa).
186,BROWN RICE POTATO POTATO,Lainnya,0,Nasi Putih,Sayur / Lauk Tambahan,Menu BROWN RICE POTATO POTATO.
187,Bette ya La -GRILLED CHICKEN SAT,Ayam,0,Nasi Putih,Sayur / Lauk Tambahan,Menu Bette ya La -GRILLED CHICKEN SAT.
188,BROWN RICE WITH BROWN RICE POTATO,Lainnya,0,Nasi Putih,Sayur / Lauk Tambahan,Menu BROWN RICE WITH BROWN RICE POTATO.
189,Dietgo Fried Chicken,Ayam,0,Nasi Putih,Sayur / Lauk Tambahan,Menu Dietgo Fried Chicken.
190,"Cobalah menu-menu sehat seperti dada ayam panggang,",Ayam,0,Nasi Putih,Sayur / Lauk Tambahan,"Menu Cobalah menu-menu sehat seperti dada ayam panggang,."
191,"Konsumsilah karbohidrat kompleks seperti nasi merah,",Lainnya,0,Nasi Putih,Sayur / Lauk Tambahan,"Menu Konsumsilah karbohidrat kompleks seperti nasi merah,."
192,WITH POTATO GRILLED CHICKEN,Ayam,0,Kentang,Sayur / Lauk Tambahan,Menu WITH POTATO GRILLED CHICKEN.
193,WITH BROWN RICE BS) Sol,Lainnya,0,Nasi Putih,Sayur / Lauk Tambahan,Menu WITH BROWN RICE BS) Sol.
194,Ari tettth lle GRILLED CHICKEN,Ayam,0,Nasi Putih,Sayur / Lauk Tambahan,Menu Ari tettth lle GRILLED CHICKEN.
195,plant-based “ayam” yang gurih dan,Ayam,0,Nasi Putih,Sayur / Lauk Tambahan,Menu plant-based “ayam” yang gurih dan.
196,Pada daging ayam! yet,Ayam,0,Nasi Putih,Sayur / Lauk Tambahan,Menu Pada daging ayam! yet.
197,Daging Ayam,Ayam,0,Nasi Putih,Sayur / Lauk Tambahan,Menu Daging Ayam.
198,"Daging ayam (85 gram) memiliki 102 kalori, 2 gram lemak, dan 19 gram protein.",Ayam,102,Nasi Putih,Sayur / Lauk Tambahan,"Menu Daging ayam (85 gram) memiliki 102 kalori, 2 gram lemak, dan 19 gram protein.."
199,"Jika dengan kulit, dada ayam mengandung 366 kalori, 14 gram lemak,",Ayam,366,Nasi Putih,Sayur / Lauk Tambahan,"Menu Jika dengan kulit, dada ayam mengandung 366 kalori, 14 gram lemak,."
200,"Meski begitu, daging ayam memiliki lemak yang sedikit. Selain itu, daging ayam",Ayam,0,Nasi Putih,Sayur / Lauk Tambahan,"Menu Meski begitu, daging ayam memiliki lemak yang sedikit. Selain itu, daging ayam."
201,"Jika sudah diolah, nutrisi daging ayam (85 gram) meningkat hingga 364 kalori,",Ayam,364,Nasi Putih,Sayur / Lauk Tambahan,"Menu Jika sudah diolah, nutrisi daging ayam (85 gram) meningkat hingga 364 kalori,."
202,"Setelah diolah, daging ayam terbukti memiliki kandungan nutrisi yang lebih besar.",Ayam,0,Nasi Putih,Sayur / Lauk Tambahan,"Menu Setelah diolah, daging ayam terbukti memiliki kandungan nutrisi yang lebih besar.."
203,"Selain itu, daging ayam yang diolah memiliki kandungan karbohidrat yang",Ayam,0,Nasi Putih,Sayur / Lauk Tambahan,"Menu Selain itu, daging ayam yang diolah memiliki kandungan karbohidrat yang."
204,"‘Se’i;Sapi Grilled,Chicken",Ayam,0,Nasi Putih,Sayur / Lauk Tambahan,"Menu ‘Se’i;Sapi Grilled,Chicken."
205,with/Brown|Rice (with\Potate| Wedges,Lainnya,0,Nasi Putih,Sayur / Lauk Tambahan,Menu with/Brown|Rice (with\Potate| Wedges.
206,Nasi/Merahma Nasi[Putih),Lainnya,0,Nasi Putih,Sayur / Lauk Tambahan,Menu Nasi/Merahma Nasi[Putih).
207,KENAPA\NASI/MERAH,Lainnya,0,Nasi Putih,Sayur / Lauk Tambahan,Menu KENAPA\NASI/MERAH.
208,oS yang Sei Ayam dan ternyata enak,Ayam,0,Nasi Putih,Sayur / Lauk Tambahan,Menu oS yang Sei Ayam dan ternyata enak.
209,= Healthy Fried Chicken,Ayam,0,Nasi Putih,Sayur / Lauk Tambahan,Menu = Healthy Fried Chicken.
210,Lower Calori than usual Fried Chicken,Ayam,0,Nasi Putih,Sayur / Lauk Tambahan,Menu Lower Calori than usual Fried Chicken.
211,(Chicken),Ayam,0,Nasi Putih,Sayur / Lauk Tambahan,Menu (Chicken).
212,combo se‘i ayam,Ayam,0,Nasi Putih,Sayur / Lauk Tambahan,Menu combo se‘i ayam.
213,combo se‘i sapi,Sapi,0,Nasi Putih,Sayur / Lauk Tambahan,Menu combo se‘i sapi.
214,grilled chicken,Ayam,0,Nasi Putih,Sayur / Lauk Tambahan,Menu grilled chicken.
215,with brown rice/potatoes,Lainnya,0,Nasi Putih,Sayur / Lauk Tambahan,Menu with brown rice/potatoes.
216,se‘i ayam,Ayam,0,Nasi Putih,Sayur / Lauk Tambahan,Menu se‘i ayam.
217,se‘i sapi,Sapi,0,Nasi Putih,Sayur / Lauk Tambahan,Menu se‘i sapi.
218,japanese gyudon with brown rice,Lainnya,0,Nasi Putih,Sayur / Lauk Tambahan,Menu japanese gyudon with brown rice.
219,~ manfaat nasi merah,Lainnya,0,Nasi Putih,Sayur / Lauk Tambahan,Menu ~ manfaat nasi merah.
220,Konsumsi Dada Ayam,Ayam,0,Nasi Putih,Sayur / Lauk Tambahan,Menu Konsumsi Dada Ayam.
221,NASI DAN KENTANG?,Lainnya,0,Nasi Putih,Sayur / Lauk Tambahan,Menu NASI DAN KENTANG?.
222,dengan slice beef pilihan,Sapi,0,Nasi Putih,Sayur / Lauk Tambahan,Menu dengan slice beef pilihan.
223,Fried Chicken 650 Kcal,Ayam,650,Nasi Putih,Sayur / Lauk Tambahan,Menu Fried Chicken 650 Kcal.
224,Grilled Chicken 400 Keal,Ayam,0,Nasi Putih,Sayur / Lauk Tambahan,Menu Grilled Chicken 400 Keal.
225,wilh Brown Rice,Lainnya,0,Nasi Putih,Sayur / Lauk Tambahan,Menu wilh Brown Rice.
226,PVA AYAM,Ayam,0,Nasi Putih,Sayur / Lauk Tambahan,Menu PVA AYAM.
227,AYAM PENYET,Ayam,0,Nasi Putih,Sayur / Lauk Tambahan,Menu AYAM PENYET.
228,& BROWN RICE,Lainnya,0,Nasi Putih,Sayur / Lauk Tambahan,Menu & BROWN RICE.
229,Sei sapi potatoes,Sapi,0,Kentang,Sayur / Lauk Tambahan,Menu Sei sapi potatoes.
230,..Sarapan nasi padang,Lainnya,0,Nasi Putih,Sayur / Lauk Tambahan,Menu ..Sarapan nasi padang.
231,Chicken Potatoes,Ayam,0,Kentang,Sayur / Lauk Tambahan,Menu Chicken Potatoes.
232,@ Grilled Chicken with Potatoes,Ayam,0,Kentang,Sayur / Lauk Tambahan,Menu @ Grilled Chicken with Potatoes.
233,Sei Ayam Hickory Bowl,Ayam,0,Nasi Putih,Sayur / Lauk Tambahan,Menu Sei Ayam Hickory Bowl.
234,Vegetables & Grilled Chicken wit...,Ayam,0,Nasi Putih,Sayur / Lauk Tambahan,Menu Vegetables & Grilled Chicken wit....
235,Sei Sapi with Brown Rice & Sei,Sapi,0,Nasi Putih,Sayur / Lauk Tambahan,Menu Sei Sapi with Brown Rice & Sei.
236,Ayam with Brown Rice,Ayam,0,Nasi Putih,Sayur / Lauk Tambahan,Menu Ayam with Brown Rice.
237,Roasted Chicken with Brown Rice,Ayam,0,Nasi Putih,Sayur / Lauk Tambahan,Menu Roasted Chicken with Brown Rice.
238,& Chicken Steak with Brown Rice,Ayam,0,Nasi Putih,Sayur / Lauk Tambahan,Menu & Chicken Steak with Brown Rice.
239,sted Chicken with Brown Rice,Ayam,0,Nasi Putih,Sayur / Lauk Tambahan,Menu sted Chicken with Brown Rice.
